country,title,sku,reg_pr,act_pr,brand,sticker,cat_1,cat_2,cat_3,url
DE,Wandersocken MH500 Hoch 2 Paar bordeaux,8616557,"17,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandersocken-mh500-hoch-2-paar/_/R-p-330200?mc=8616557&c=BORDEAUX
DE,Sonnenbrille Bergwandern MH550 polarisierend Damen Kategorie 3 pink,8676428,"24,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh550w-polarisierend-damen-kategorie-3/_/R-p-324377?mc=8676428&c=GRAU
DE,Sonnenbrille Wandern MH160 Polarisierend Erwachsene Kategorie 3 schwarz/pink,8581693,"19,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh160-polarisierend-erwachsene-kategorie-3-schwarz-pink/_/R-p-324492?mc=8581693&c=GRAU
DE,Wanderhose Naturwandern NH500 Slim Damen khaki ,8513156,"24,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wanderhose-naturwandern-nh500-slim-damen/_/R-p-301658?mc=8513156&c=GRÜN_KHAKI
DE,Wandertop Bergwandern MH500 Damen koralle,8612446,"7,99€","4,99€",QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandertop-bergwandern-mh500-damen/_/R-p-308269?mc=8612446&c=GRÜN
DE,Fleecejacke Winterwandern SH100 Ultra-Warm Damen,8527388,"34,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/fleecejacke-winterwandern-sh100-ultra-warm-damen/_/R-p-305153?mc=8527388&c=GRAU
DE,Merinoshirt Bergtrekking MT500 langarm Damen khaki ,8573825,"44,99€",,FORCLAZ,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/merinoshirt-bergtrekking-mt500-langarm-damen/_/R-p-312489?mc=8573825&c=GRÜN
DE,Fleecepullover Bergwandern MH100 Damen blaugrau ,8648296,"9,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/fleecepullover-bergwandern-mh100-damen/_/R-p-324607?mc=8648296&c=GRÜN
DE,Wandershirt Umstandsshirt kurzarm Damen weiss,8667173,"14,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandershirt-umstandsshirt-kurzarm-damen/_/R-p-335511?mc=8667173&c=WEIß
DE,Sport-Bustier MT500 Merinowolle ,8601369,"29,99€",,FORCLAZ,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sport-bustier-mt500-merinowolle/_/R-p-324119?mc=8601369&c=BORDEAUX
